,brand,price,rating,product_type
0,rejuva minerals,0.0,,blush
1,marienatie,0.0,,blush
2,lotus cosmetics usa,0.0,,blush
3,glossier,22.0,,blush
4,nyx,20.0,,blush
5,nyx,9.0,,blush
6,nyx,6.0,,blush
7,nyx,6.0,,blush
8,nyx,7.0,,blush
9,nyx,6.5,,blush
10,nyx,10.0,,blush
11,nyx,6.0,,blush
12,nyx,6.0,,blush
13,clinique,34.0,,blush
14,clinique,23.0,,blush
15,clinique,23.0,,blush
16,clinique,18.9,,blush
17,clinique,23.0,,blush
18,clinique,23.0,,blush
19,clinique,,,blush
20,clinique,23.0,,blush
21,dior,32.0,,blush
22,dior,0.0,,blush
23,dior,32.5,,blush
24,dior,32.5,,blush
25,dior,27.5,,blush
26,iman,,,blush
27,smashbox,29.0,,blush
28,smashbox,35.0,,blush
29,smashbox,29.0,,blush
30,,15.99,5.0,blush
31,nyx,12.99,,blush
32,covergirl,13.99,,blush
33,cargo cosmetics,32.0,,blush
34,,28.96,,blush
35,maybelline,14.99,,blush
36,sante,23.49,3.0,blush
37,covergirl,13.99,5.0,blush
38,annabelle,7.99,,blush
39,nyx,7.99,4.0,blush
40,cargo cosmetics,29.0,5.0,blush
41,mineral fusion,32.0,5.0,blush
42,covergirl,8.99,5.0,blush
43,covergirl,8.99,,blush
44,physicians formula,15.99,4.0,blush
45,covergirl,6.99,5.0,blush
46,e.l.f.,9.99,,blush
47,revlon,13.49,5.0,blush
48,maybelline,14.99,5.0,blush
49,physicians formula,15.99,4.0,blush
50,covergirl,6.99,5.0,blush
51,almay,14.49,4.0,blush
52,l'oreal,16.49,4.8,blush
53,physicians formula,15.99,4.7,blush
54,pure anada,12.0,4.0,blush
55,physicians formula,15.49,4.8,blush
56,covergirl,7.99,3.3,blush
57,physicians formula,19.99,4.8,blush
58,e.l.f.,9.99,4.7,blush
59,pure anada,12.0,4.5,blush
60,maybelline,10.29,4.8,blush
61,pure anada,12.0,4.4,blush
62,milani,9.99,4.6,blush
63,milani,7.99,4.7,blush
64,cargo cosmetics,26.0,4.8,blush
65,physicians formula,15.99,5.0,blush
66,stila,51.0,,blush
67,stila,51.0,,blush
68,anna sui,27.0,,blush
69,nyx,9.99,2.0,blush
70,l'oreal,15.99,,blush
71,marcelle,14.99,5.0,blush
72,revlon,13.49,5.0,blush
73,,15.0,2.3,blush
74,physicians formula,8.99,4.0,blush
75,maybelline,11.99,4.5,blush
76,physicians formula,29.99,4.8,blush
77,pacifica,28.0,3.6,blush
78,rejuva minerals,0.0,,blush
79,marienatie,0.0,,blush
80,lotus cosmetics usa,0.0,,blush
81,glossier,22.0,,blush
82,nyx,20.0,,blush
83,nyx,9.0,,blush
84,nyx,6.0,,blush
85,nyx,6.0,,blush
86,nyx,7.0,,blush
87,nyx,6.5,,blush
88,nyx,10.0,,blush
89,nyx,6.0,,blush
90,nyx,6.0,,blush
91,clinique,34.0,,blush
92,clinique,23.0,,blush
93,clinique,23.0,,blush
94,clinique,18.9,,blush
95,clinique,23.0,,blush
96,clinique,23.0,,blush
97,clinique,,,blush
98,clinique,23.0,,blush
99,dior,32.0,,blush
100,dior,0.0,,blush
101,dior,32.5,,blush
102,dior,32.5,,blush
103,dior,27.5,,blush
104,iman,,,blush
105,smashbox,29.0,,blush
106,smashbox,35.0,,blush
107,smashbox,29.0,,blush
108,,15.99,5.0,blush
109,nyx,12.99,,blush
110,covergirl,13.99,,blush
111,cargo cosmetics,32.0,,blush
112,,28.96,,blush
113,maybelline,14.99,,blush
114,sante,23.49,3.0,blush
115,covergirl,13.99,5.0,blush
116,annabelle,7.99,,blush
117,nyx,7.99,4.0,blush
118,cargo cosmetics,29.0,5.0,blush
119,mineral fusion,32.0,5.0,blush
120,covergirl,8.99,5.0,blush
121,covergirl,8.99,,blush
122,physicians formula,15.99,4.0,blush
123,covergirl,6.99,5.0,blush
124,e.l.f.,9.99,,blush
125,revlon,13.49,5.0,blush
126,maybelline,14.99,5.0,blush
127,physicians formula,15.99,4.0,blush
128,covergirl,6.99,5.0,blush
129,almay,14.49,4.0,blush
130,l'oreal,16.49,4.8,blush
131,physicians formula,15.99,4.7,blush
132,pure anada,12.0,4.0,blush
133,physicians formula,15.49,4.8,blush
134,covergirl,7.99,3.3,blush
135,physicians formula,19.99,4.8,blush
136,e.l.f.,9.99,4.7,blush
137,pure anada,12.0,4.5,blush
138,maybelline,10.29,4.8,blush
139,pure anada,12.0,4.4,blush
140,milani,9.99,4.6,blush
141,milani,7.99,4.7,blush
142,cargo cosmetics,26.0,4.8,blush
143,physicians formula,15.99,5.0,blush
144,stila,51.0,,blush
145,stila,51.0,,blush
146,anna sui,27.0,,blush
147,nyx,9.99,2.0,blush
148,l'oreal,15.99,,blush
149,marcelle,14.99,5.0,blush
150,revlon,13.49,5.0,blush
151,,15.0,2.3,blush
152,physicians formula,8.99,4.0,blush
153,maybelline,11.99,4.5,blush
154,physicians formula,29.99,4.8,blush
155,pacifica,28.0,3.6,blush
156,maia's mineral galaxy,0.0,,eyebrow
157,nyx,9.75,,eyebrow
158,nyx,15.0,,eyebrow
159,nyx,10.0,,eyebrow
160,nyx,10.0,,eyebrow
161,nyx,8.75,,eyebrow
162,nyx,8.0,,eyebrow
163,nyx,13.0,,eyebrow
164,nyx,7.0,,eyebrow
165,nyx,6.5,,eyebrow
166,nyx,10.0,,eyebrow
167,nyx,10.0,,eyebrow
168,nyx,6.0,,eyebrow
169,nyx,6.0,,eyebrow
170,nyx,7.0,,eyebrow
171,nyx,4.75,,eyebrow
172,nyx,7.0,,eyebrow
173,nyx,7.0,,eyebrow
174,nyx,10.0,,eyebrow
175,clinique,9.0,,eyebrow
176,clinique,18.0,,eyebrow
177,clinique,34.5,,eyebrow
178,clinique,18.0,,eyebrow
179,clinique,18.0,,eyebrow
180,clinique,18.0,,eyebrow
181,dior,43.0,,eyebrow
182,dior,20.0,,eyebrow
183,dior,20.0,,eyebrow
